2023-08-07,12:56:24,683,562
2023-08-07,12:56:26,832,1330
2023-08-07,12:56:26,876,1375
2023-08-07,12:56:26,856,1397
2023-08-07,12:56:26,858,1390
2023-08-07,12:56:26,856,1410
2023-08-07,12:56:26,858,1388
2023-08-07,12:56:26,862,1384
2023-08-07,12:56:26,865,1388
2023-08-07,12:56:26,879,1385
2023-08-07,12:56:26,877,1381
2023-08-07,12:56:26,870,1375
2023-08-07,12:56:26,877,1379
2023-08-07,12:56:26,873,1384
2023-08-07,12:56:27,870,1390
2023-08-07,12:56:27,882,1381
2023-08-07,12:56:27,879,1380
2023-08-07,12:56:27,881,1385
2023-08-07,12:56:27,880,1383
2023-08-07,12:56:27,879,1381
2023-08-07,12:56:27,879,1383
2023-08-07,12:56:27,867,1380
2023-08-07,12:56:27,871,1381
2023-08-07,12:56:27,873,1387
2023-08-07,12:56:27,868,1387
2023-08-07,12:56:27,871,1386
2023-08-07,12:56:27,862,1385
2023-08-07,12:56:27,863,1379
2023-08-07,12:56:28,871,1381
2023-08-07,12:56:28,874,1383
2023-08-07,12:56:28,874,1378
2023-08-07,12:56:28,881,1379
2023-08-07,12:56:28,867,1378
2023-08-07,12:56:28,866,1383
2023-08-07,12:56:28,865,1383
2023-08-07,12:56:28,872,1382
2023-08-07,12:56:28,874,1384
2023-08-07,12:56:28,890,1384
2023-08-07,12:56:28,889,1386
2023-08-07,12:56:28,895,1379
2023-08-07,12:56:28,903,1364
2023-08-07,12:56:29,905,1365
2023-08-07,12:56:29,918,1366
2023-08-07,12:56:29,915,1368
2023-08-07,12:56:29,913,1369
2023-08-07,12:56:29,913,1373
2023-08-07,12:56:29,893,1379
2023-08-07,12:56:29,879,1381
2023-08-07,12:56:29,898,1384
2023-08-07,12:56:29,898,1381
2023-08-07,12:56:29,894,1388
2023-08-07,12:56:29,885,1386
2023-08-07,12:56:29,886,1386
2023-08-07,12:56:30,885,1383
2023-08-07,12:56:30,883,1385
2023-08-07,12:56:30,879,1378
2023-08-07,12:56:30,895,1372
2023-08-07,12:56:30,877,1372
2023-08-07,12:56:30,870,1376
2023-08-07,12:56:30,888,1377
2023-08-07,12:56:30,898,1372
2023-08-07,12:56:30,898,1377
2023-08-07,12:56:30,897,1380
2023-08-07,12:56:30,912,1380
2023-08-07,12:56:30,910,1380
2023-08-07,12:56:30,912,1368
2023-08-07,12:56:31,916,1361
2023-08-07,12:56:31,929,1362
2023-08-07,12:56:31,910,1363
2023-08-07,12:56:33,880,1364
2023-08-07,12:56:33,874,1364
2023-08-07,12:56:33,873,1365
2023-08-07,12:56:33,875,1365
2023-08-07,12:56:33,863,1364
2023-08-07,12:56:33,859,1363
2023-08-07,12:56:33,860,1378
2023-08-07,12:56:33,858,1376
2023-08-07,12:56:33,859,1372
2023-08-07,12:56:33,833,1373
2023-08-07,12:56:33,837,1376
2023-08-07,12:56:33,835,1376
2023-08-07,12:56:34,835,1365
2023-08-07,12:56:34,871,1364
2023-08-07,12:56:34,882,1378
2023-08-07,12:56:34,880,1378
2023-08-07,12:56:34,884,1439
2023-08-07,12:56:34,884,1461
2023-08-07,12:56:34,891,1470
2023-08-07,12:56:34,890,1460
2023-08-07,12:56:34,834,1484
2023-08-07,12:56:34,800,1472
2023-08-07,12:56:34,713,1293
2023-08-07,12:56:34,722,1156
2023-08-07,12:56:34,623,340
2023-08-07,12:56:36,1012,695
2023-08-07,12:56:36,1107,757
2023-08-07,12:56:36,1134,743
2023-08-07,12:56:36,1146,750
2023-08-07,12:56:37,1117,746
2023-08-07,12:56:37,1106,741
2023-08-07,12:56:37,1099,739
2023-08-07,12:56:37,1050,734
2023-08-07,12:56:37,1029,725
2023-08-07,12:56:37,1009,728
2023-08-07,12:56:37,991,722
2023-08-07,12:56:37,988,722
2023-08-07,12:56:37,956,721
2023-08-07,12:56:37,951,723
2023-08-07,12:56:37,927,707
2023-08-07,12:56:37,905,695
